MakeID,Make,Body_Type,Year_Month,Units_Sold
6,BAIC Changhe,Sedan,2020-02-01,29
6,BAIC Changhe,Sedan,2020-03-01,27
6,BAIC Changhe,Sedan,2020-04-01,72
6,BAIC Changhe,Sedan,2020-05-01,234
6,BAIC Changhe,Sedan,2020-06-01,88
6,BAIC Changhe,Sedan,2020-07-01,68
6,BAIC Changhe,Sedan,2020-08-01,54
6,BAIC Changhe,Sedan,2020-09-01,51
6,BAIC Changhe,Sedan,2020-10-01,73
6,BAIC Changhe,Sedan,2020-11-01,82
6,BAIC Changhe,Sedan,2021-01-01,39
6,BAIC Changhe,Sedan,2021-02-01,10
6,BAIC Changhe,Sedan,2021-03-01,8
6,BAIC Changhe,Sedan,2021-04-01,5
6,BAIC Changhe,Sedan,2021-05-01,1
6,BAIC Changhe,Sedan,2021-06-01,3
6,BAIC Changhe,Sedan,2021-07-01,5
6,BAIC Changhe,Sedan,2021-08-01,4
6,BAIC Changhe,Sedan,2021-10-01,4
6,BAIC Changhe,Sedan,2021-11-01,12
6,BAIC Changhe,Sedan,2021-12-01,1
6,BAIC Changhe,Sedan,2022-01-01,1
7,BAIC Huansu,MPV,2018-01-01,3563
7,BAIC Huansu,MPV,2018-02-01,2413
7,BAIC Huansu,MPV,2018-03-01,2311
7,BAIC Huansu,MPV,2018-04-01,2048
7,BAIC Huansu,MPV,2018-05-01,2020
7,BAIC Huansu,MPV,2018-06-01,3531
7,BAIC Huansu,MPV,2018-07-01,1016
7,BAIC Huansu,MPV,2018-08-01,534
7,BAIC Huansu,MPV,2018-09-01,465
7,BAIC Huansu,MPV,2018-10-01,456
7,BAIC Huansu,MPV,2018-11-01,438
7,BAIC Huansu,MPV,2018-12-01,1384
7,BAIC Huansu,MPV,2019-01-01,1123
7,BAIC Huansu,MPV,2019-02-01,1409
7,BAIC Huansu,MPV,2019-03-01,3075
7,BAIC Huansu,MPV,2019-04-01,267
7,BAIC Huansu,MPV,2019-05-01,255
7,BAIC Huansu,MPV,2019-06-01,291
7,BAIC Huansu,MPV,2019-07-01,287
7,BAIC Huansu,MPV,2019-08-01,188
7,BAIC Huansu,SUV,2018-01-01,6753
7,BAIC Huansu,SUV,2018-02-01,4421
7,BAIC Huansu,SUV,2018-03-01,6090
7,BAIC Huansu,SUV,2018-04-01,5892
7,BAIC Huansu,SUV,2018-05-01,5918
7,BAIC Huansu,SUV,2018-06-01,5986
7,BAIC Huansu,SUV,2018-07-01,2548
7,BAIC Huansu,SUV,2018-08-01,2119
7,BAIC Huansu,SUV,2018-09-01,2315
7,BAIC Huansu,SUV,2018-10-01,2993
7,BAIC Huansu,SUV,2018-11-01,3008
7,BAIC Huansu,SUV,2018-12-01,7348
7,BAIC Huansu,SUV,2019-01-01,2188
7,BAIC Huansu,SUV,2019-02-01,2554
7,BAIC Huansu,SUV,2019-03-01,6007
7,BAIC Huansu,SUV,2019-04-01,626
7,BAIC Huansu,SUV,2019-05-01,585
7,BAIC Huansu,SUV,2019-06-01,899
7,BAIC Huansu,SUV,2019-07-01,883
7,BAIC Huansu,SUV,2019-08-01,418
7,BAIC Huansu,SUV,2019-09-01,697
7,BAIC Huansu,SUV,2019-10-01,338
7,BAIC Huansu,SUV,2019-11-01,625
7,BAIC Huansu,SUV,2019-12-01,877
7,BAIC Huansu,SUV,2020-01-01,400
7,BAIC Huansu,SUV,2020-02-01,200
7,BAIC Huansu,SUV,2020-03-01,359
7,BAIC Huansu,SUV,2020-04-01,298
7,BAIC Huansu,SUV,2020-05-01,280
7,BAIC Huansu,SUV,2020-06-01,95
7,BAIC Huansu,SUV,2020-07-01,4
7,BAIC Huansu,SUV,2020-08-01,2
7,BAIC Huansu,SUV,2020-10-01,69
7,BAIC Huansu,SUV,2021-05-01,15
7,BAIC Huansu,SUV,2021-06-01,8
7,BAIC Huansu,Sedan,2018-01-01,4028
7,BAIC Huansu,Sedan,2018-02-01,3558
7,BAIC Huansu,Sedan,2018-03-01,4897
7,BAIC Huansu,Sedan,2018-04-01,3839
7,BAIC Huansu,Sedan,2018-05-01,3811
7,BAIC Huansu,Sedan,2018-06-01,4871
7,BAIC Huansu,Sedan,2018-07-01,1212
7,BAIC Huansu,Sedan,2018-08-01,1342
7,BAIC Huansu,Sedan,2018-09-01,1152
7,BAIC Huansu,Sedan,2018-10-01,1599
7,BAIC Huansu,Sedan,2018-11-01,1618
7,BAIC Huansu,Sedan,2018-12-01,5113
7,BAIC Huansu,Sedan,2019-01-01,1820
7,BAIC Huansu,Sedan,2019-02-01,1598
7,BAIC Huansu,Sedan,2019-03-01,4296
7,BAIC Huansu,Sedan,2019-04-01,373
7,BAIC Huansu,Sedan,2019-05-01,231
7,BAIC Huansu,Sedan,2019-06-01,209
7,BAIC Huansu,Sedan,2019-07-01,68
7,BAIC Huansu,Sedan,2019-11-01,10
8,BAIC New Energy,Hatchback,2018-01-01,8580
8,BAIC New Energy,Hatchback,2018-02-01,6552
8,BAIC New Energy,Hatchback,2018-03-01,10498
8,BAIC New Energy,Hatchback,2018-04-01,9272
8,BAIC New Energy,Hatchback,2018-05-01,12624
8,BAIC New Energy,Hatchback,2018-06-01,2
8,BAIC New Energy,Hatchback,2018-07-01,1518
8,BAIC New Energy,Hatchback,2018-08-01,2156
8,BAIC New Energy,Hatchback,2018-09-01,3943
8,BAIC New Energy,Hatchback,2018-10-01,17141
8,BAIC New Energy,Hatchback,2018-11-01,13938
8,BAIC New Energy,Hatchback,2018-12-01,9613
8,BAIC New Energy,Hatchback,2019-02-01,157
8,BAIC New Energy,Hatchback,2019-03-01,3528
8,BAIC New Energy,Hatchback,2019-05-01,216
8,BAIC New Energy,Hatchback,2019-06-01,236
8,BAIC New Energy,Hatchback,2019-07-01,1500
8,BAIC New Energy,Hatchback,2019-08-01,500
8,BAIC New Energy,Hatchback,2019-09-01,1352
8,BAIC New Energy,Hatchback,2019-10-01,667
8,BAIC New Energy,Hatchback,2019-11-01,734
8,BAIC New Energy,Hatchback,2019-12-01,5318
8,BAIC New Energy,Hatchback,2020-01-01,30
8,BAIC New Energy,Hatchback,2020-02-01,55
8,BAIC New Energy,Hatchback,2020-03-01,988
8,BAIC New Energy,Hatchback,2020-04-01,40
8,BAIC New Energy,Hatchback,2020-05-01,531
8,BAIC New Energy,Hatchback,2020-06-01,556
8,BAIC New Energy,Hatchback,2020-07-01,720
8,BAIC New Energy,Hatchback,2020-08-01,223
8,BAIC New Energy,Hatchback,2020-09-01,4
8,BAIC New Energy,Hatchback,2020-11-01,1660
8,BAIC New Energy,Hatchback,2020-12-01,341
8,BAIC New Energy,Hatchback,2021-01-01,15
8,BAIC New Energy,Hatchback,2021-03-01,1
8,BAIC New Energy,Hatchback,2022-01-01,523
8,BAIC New Energy,Hatchback,2022-02-01,266
8,BAIC New Energy,Hatchback,2022-03-01,1015
8,BAIC New Energy,Hatchback,2022-04-01,316
8,BAIC New Energy,Hatchback,2022-05-01,652
8,BAIC New Energy,Hatchback,2022-06-01,1111
8,BAIC New Energy,Hatchback,2022-07-01,1027
8,BAIC New Energy,Hatchback,2022-08-01,477
8,BAIC New Energy,Hatchback,2022-09-01,667
8,BAIC New Energy,Hatchback,2023-01-01,184
8,BAIC New Energy,Hatchback,2023-02-01,236
8,BAIC New Energy,Hatchback,2023-03-01,1287
8,BAIC New Energy,Hatchback,2023-04-01,1289
8,BAIC New Energy,Hatchback,2023-05-01,978
8,BAIC New Energy,Hatchback,2023-06-01,1454
8,BAIC New Energy,Hatchback,2023-07-01,1161
8,BAIC New Energy,Hatchback,2023-08-01,1473
8,BAIC New Energy,Hatchback,2023-09-01,1245
8,BAIC New Energy,Hatchback,2023-10-01,1300
8,BAIC New Energy,Hatchback,2023-11-01,2223
8,BAIC New Energy,Hatchback,2023-12-01,2333
8,BAIC New Energy,Hatchback,2024-01-01,48
8,BAIC New Energy,Hatchback,2024-02-01,13
8,BAIC New Energy,Hatchback,2024-03-01,59
8,BAIC New Energy,Hatchback,2024-04-01,110
8,BAIC New Energy,MPV,2023-08-01,207
8,BAIC New Energy,MPV,2023-09-01,1405
8,BAIC New Energy,MPV,2023-10-01,1505
8,BAIC New Energy,MPV,2023-11-01,1035
8,BAIC New Energy,MPV,2023-12-01,3134
8,BAIC New Energy,MPV,2024-01-01,92
8,BAIC New Energy,MPV,2024-02-01,34
8,BAIC New Energy,MPV,2024-03-01,123
8,BAIC New Energy,MPV,2024-04-01,71
8,BAIC New Energy,SUV,2018-01-01,767
8,BAIC New Energy,SUV,2018-06-01,300
8,BAIC New Energy,SUV,2018-07-01,800
8,BAIC New Energy,SUV,2018-08-01,1301
8,BAIC New Energy,SUV,2018-09-01,3040
8,BAIC New Energy,SUV,2018-10-01,3360
8,BAIC New Energy,SUV,2018-11-01,3050
8,BAIC New Energy,SUV,2018-12-01,3484
8,BAIC New Energy,SUV,2019-02-01,244
8,BAIC New Energy,SUV,2019-03-01,200
8,BAIC New Energy,SUV,2019-04-01,500
8,BAIC New Energy,SUV,2019-05-01,1279
8,BAIC New Energy,SUV,2019-06-01,3104
8,BAIC New Energy,SUV,2019-07-01,1101
8,BAIC New Energy,SUV,2019-08-01,1400
8,BAIC New Energy,SUV,2019-09-01,500
8,BAIC New Energy,SUV,2019-10-01,100
8,BAIC New Energy,SUV,2019-11-01,2
8,BAIC New Energy,SUV,2019-12-01,756
8,BAIC New Energy,SUV,2020-03-01,500
8,BAIC New Energy,SUV,2021-07-01,491
8,BAIC New Energy,SUV,2021-08-01,522
8,BAIC New Energy,SUV,2021-09-01,380
8,BAIC New Energy,SUV,2021-10-01,356
8,BAIC New Energy,SUV,2021-11-01,360
8,BAIC New Energy,SUV,2021-12-01,381
8,BAIC New Energy,SUV,2022-01-01,304
8,BAIC New Energy,SUV,2022-02-01,284
8,BAIC New Energy,SUV,2022-03-01,608
8,BAIC New Energy,SUV,2022-04-01,285
8,BAIC New Energy,SUV,2022-05-01,391
8,BAIC New Energy,SUV,2022-06-01,968
8,BAIC New Energy,SUV,2022-07-01,26
8,BAIC New Energy,SUV,2022-08-01,576
8,BAIC New Energy,SUV,2022-09-01,333
8,BAIC New Energy,SUV,2023-01-01,216
8,BAIC New Energy,SUV,2023-02-01,197
8,BAIC New Energy,SUV,2023-03-01,880
8,BAIC New Energy,SUV,2023-04-01,768
8,BAIC New Energy,SUV,2023-05-01,522
8,BAIC New Energy,SUV,2023-06-01,475
8,BAIC New Energy,SUV,2023-07-01,375
8,BAIC New Energy,SUV,2023-08-01,349
8,BAIC New Energy,SUV,2023-09-01,355
8,BAIC New Energy,SUV,2023-10-01,302
8,BAIC New Energy,SUV,2023-11-01,428
8,BAIC New Energy,SUV,2023-12-01,1682
8,BAIC New Energy,SUV,2024-01-01,503
8,BAIC New Energy,SUV,2024-02-01,65
8,BAIC New Energy,SUV,2024-03-01,1765
8,BAIC New Energy,SUV,2024-04-01,1892
8,BAIC New Energy,Sedan,2018-01-01,64
8,BAIC New Energy,Sedan,2018-02-01,139
8,BAIC New Energy,Sedan,2018-03-01,147
8,BAIC New Energy,Sedan,2018-04-01,143
8,BAIC New Energy,Sedan,2018-05-01,72
8,BAIC New Energy,Sedan,2018-10-01,4075
8,BAIC New Energy,Sedan,2018-11-01,2941
8,BAIC New Energy,Sedan,2018-12-01,12561
8,BAIC New Energy,Sedan,2019-01-01,3895
8,BAIC New Energy,Sedan,2019-02-01,2465
8,BAIC New Energy,Sedan,2019-03-01,12983
8,BAIC New Energy,Sedan,2019-04-01,4738
8,BAIC New Energy,Sedan,2019-05-01,7079
8,BAIC New Energy,Sedan,2019-06-01,17916
8,BAIC New Energy,Sedan,2019-07-01,8937
8,BAIC New Energy,Sedan,2019-08-01,7580
8,BAIC New Energy,Sedan,2019-09-01,8710
8,BAIC New Energy,Sedan,2019-10-01,7623
8,BAIC New Energy,Sedan,2019-11-01,6258
8,BAIC New Energy,Sedan,2019-12-01,5452
8,BAIC New Energy,Sedan,2020-01-01,1400
8,BAIC New Energy,Sedan,2020-02-01,979
8,BAIC New Energy,Sedan,2020-03-01,4450
8,BAIC New Energy,Sedan,2020-04-01,630
8,BAIC New Energy,Sedan,2020-05-01,940
8,BAIC New Energy,Sedan,2020-06-01,1542
8,BAIC New Energy,Sedan,2020-07-01,728
8,BAIC New Energy,Sedan,2020-08-01,1562
8,BAIC New Energy,Sedan,2020-09-01,300
8,BAIC New Energy,Sedan,2020-10-01,430
8,BAIC New Energy,Sedan,2021-01-01,2
8,BAIC New Energy,Sedan,2021-02-01,1
8,BAIC New Energy,Sedan,2021-03-01,3
8,BAIC New Energy,Sedan,2021-07-01,1
8,BAIC New Energy,Sedan,2021-10-01,16
8,BAIC New Energy,Sedan,2021-11-01,51
8,BAIC New Energy,Sedan,2021-12-01,204
8,BAIC New Energy,Sedan,2024-03-01,207
8,BAIC New Energy,Sedan,2024-04-01,240
9,BEIJING Auto,Hatchback,2018-01-01,116
9,BEIJING Auto,Hatchback,2018-05-01,37
9,BEIJING Auto,Hatchback,2018-06-01,40
9,BEIJING Auto,Hatchback,2018-08-01,4
9,BEIJING Auto,Hatchback,2018-09-01,117
9,BEIJING Auto,Hatchback,2018-10-01,217
9,BEIJING Auto,Hatchback,2018-12-01,152
9,BEIJING Auto,Hatchback,2019-04-01,100
9,BEIJING Auto,Hatchback,2019-06-01,10
9,BEIJING Auto,Hatchback,2019-09-01,43
9,BEIJING Auto,Hatchback,2019-11-01,30
9,BEIJING Auto,Hatchback,2019-12-01,1236
9,BEIJING Auto,Hatchback,2020-03-01,12
9,BEIJING Auto,Hatchback,2020-08-01,250
9,BEIJING Auto,Hatchback,2020-10-01,14
9,BEIJING Auto,SUV,2018-01-01,2725
9,BEIJING Auto,SUV,2018-02-01,1816
9,BEIJING Auto,SUV,2018-03-01,2771
9,BEIJING Auto,SUV,2018-04-01,2253
9,BEIJING Auto,SUV,2018-05-01,4391
9,BEIJING Auto,SUV,2018-06-01,3081
9,BEIJING Auto,SUV,2018-07-01,2587
9,BEIJING Auto,SUV,2018-08-01,2225
9,BEIJING Auto,SUV,2018-09-01,2033
9,BEIJING Auto,SUV,2018-10-01,3535
9,BEIJING Auto,SUV,2018-11-01,5109
9,BEIJING Auto,SUV,2018-12-01,5620
9,BEIJING Auto,SUV,2019-01-01,464
9,BEIJING Auto,SUV,2019-02-01,804
9,BEIJING Auto,SUV,2019-03-01,3401
9,BEIJING Auto,SUV,2019-04-01,211
9,BEIJING Auto,SUV,2019-05-01,430
9,BEIJING Auto,SUV,2019-06-01,490
9,BEIJING Auto,SUV,2019-07-01,2001
9,BEIJING Auto,SUV,2019-08-01,3135
9,BEIJING Auto,SUV,2019-09-01,3501
9,BEIJING Auto,SUV,2019-10-01,4386
9,BEIJING Auto,SUV,2019-11-01,5087
9,BEIJING Auto,SUV,2019-12-01,6932
9,BEIJING Auto,SUV,2020-01-01,2119
9,BEIJING Auto,SUV,2020-02-01,300
9,BEIJING Auto,SUV,2020-03-01,114
9,BEIJING Auto,SUV,2020-04-01,1026
9,BEIJING Auto,SUV,2020-05-01,3552
9,BEIJING Auto,SUV,2020-06-01,110
9,BEIJING Auto,SUV,2020-07-01,3103
9,BEIJING Auto,SUV,2020-08-01,4697
9,BEIJING Auto,SUV,2020-09-01,4680
9,BEIJING Auto,SUV,2020-10-01,3791
9,BEIJING Auto,SUV,2020-11-01,2731
9,BEIJING Auto,SUV,2020-12-01,2298
9,BEIJING Auto,SUV,2021-01-01,1995
9,BEIJING Auto,SUV,2021-02-01,496
9,BEIJING Auto,SUV,2021-03-01,1805
9,BEIJING Auto,SUV,2021-04-01,2389
9,BEIJING Auto,SUV,2021-05-01,1528
9,BEIJING Auto,SUV,2021-06-01,1767
9,BEIJING Auto,SUV,2021-07-01,1729
9,BEIJING Auto,SUV,2021-08-01,1465
9,BEIJING Auto,SUV,2021-09-01,1964
9,BEIJING Auto,SUV,2021-10-01,1468
9,BEIJING Auto,SUV,2021-11-01,2656
9,BEIJING Auto,SUV,2021-12-01,2550
9,BEIJING Auto,SUV,2022-01-01,742
9,BEIJING Auto,SUV,2022-02-01,1077
9,BEIJING Auto,SUV,2022-03-01,1639
9,BEIJING Auto,SUV,2022-04-01,414
9,BEIJING Auto,SUV,2022-05-01,489
9,BEIJING Auto,SUV,2022-06-01,1613
9,BEIJING Auto,SUV,2022-07-01,2002
9,BEIJING Auto,SUV,2022-08-01,1427
9,BEIJING Auto,SUV,2022-09-01,1414
9,BEIJING Auto,SUV,2022-10-01,828
9,BEIJING Auto,SUV,2022-11-01,465
9,BEIJING Auto,SUV,2022-12-01,892
9,BEIJING Auto,SUV,2023-01-01,944
9,BEIJING Auto,SUV,2023-02-01,973
9,BEIJING Auto,SUV,2023-03-01,668
9,BEIJING Auto,SUV,2023-04-01,592
9,BEIJING Auto,SUV,2023-05-01,917
9,BEIJING Auto,SUV,2023-06-01,1446
9,BEIJING Auto,SUV,2023-07-01,846
9,BEIJING Auto,SUV,2023-08-01,1162
9,BEIJING Auto,SUV,2023-09-01,1159
9,BEIJING Auto,SUV,2023-10-01,960
9,BEIJING Auto,Sedan,2018-01-01,2817
9,BEIJING Auto,Sedan,2018-02-01,1824
9,BEIJING Auto,Sedan,2018-03-01,3366
9,BEIJING Auto,Sedan,2018-04-01,1428
9,BEIJING Auto,Sedan,2018-05-01,1509
9,BEIJING Auto,Sedan,2018-06-01,2004
9,BEIJING Auto,Sedan,2018-07-01,446
9,BEIJING Auto,Sedan,2018-08-01,3344
9,BEIJING Auto,Sedan,2018-09-01,4603
9,BEIJING Auto,Sedan,2018-10-01,5211
9,BEIJING Auto,Sedan,2018-11-01,5448
9,BEIJING Auto,Sedan,2018-12-01,10233
9,BEIJING Auto,Sedan,2019-01-01,4029
9,BEIJING Auto,Sedan,2019-02-01,4101
9,BEIJING Auto,Sedan,2019-03-01,7755
9,BEIJING Auto,Sedan,2019-04-01,4866
9,BEIJING Auto,Sedan,2019-05-01,7319
9,BEIJING Auto,Sedan,2019-06-01,18985
9,BEIJING Auto,Sedan,2019-07-01,9311
9,BEIJING Auto,Sedan,2019-08-01,6806
9,BEIJING Auto,Sedan,2019-09-01,9535
9,BEIJING Auto,Sedan,2019-10-01,6500
9,BEIJING Auto,Sedan,2019-11-01,2057
9,BEIJING Auto,Sedan,2019-12-01,7411
9,BEIJING Auto,Sedan,2020-01-01,1121
9,BEIJING Auto,Sedan,2020-02-01,820
9,BEIJING Auto,Sedan,2020-03-01,3841
9,BEIJING Auto,Sedan,2020-04-01,1770
9,BEIJING Auto,Sedan,2020-05-01,1382
9,BEIJING Auto,Sedan,2020-06-01,3320
9,BEIJING Auto,Sedan,2020-07-01,748
9,BEIJING Auto,Sedan,2020-08-01,667
9,BEIJING Auto,Sedan,2020-09-01,2647
9,BEIJING Auto,Sedan,2020-10-01,1509
9,BEIJING Auto,Sedan,2020-11-01,321
9,BEIJING Auto,Sedan,2020-12-01,724
9,BEIJING Auto,Sedan,2021-01-01,1977
9,BEIJING Auto,Sedan,2021-02-01,886
9,BEIJING Auto,Sedan,2021-03-01,1490
9,BEIJING Auto,Sedan,2021-04-01,1130
9,BEIJING Auto,Sedan,2021-05-01,929
9,BEIJING Auto,Sedan,2021-06-01,1385
9,BEIJING Auto,Sedan,2021-07-01,3130
9,BEIJING Auto,Sedan,2021-08-01,3874
9,BEIJING Auto,Sedan,2021-09-01,2648
9,BEIJING Auto,Sedan,2021-10-01,2779
9,BEIJING Auto,Sedan,2021-11-01,2343
9,BEIJING Auto,Sedan,2021-12-01,4492
9,BEIJING Auto,Sedan,2022-01-01,1293
9,BEIJING Auto,Sedan,2022-02-01,713
9,BEIJING Auto,Sedan,2022-03-01,4105
9,BEIJING Auto,Sedan,2022-04-01,1415
9,BEIJING Auto,Sedan,2022-05-01,1219
9,BEIJING Auto,Sedan,2022-06-01,1518
9,BEIJING Auto,Sedan,2022-07-01,2587
9,BEIJING Auto,Sedan,2022-09-01,3279
9,BEIJING Auto,Sedan,2022-10-01,4667
9,BEIJING Auto,Sedan,2022-11-01,5183
9,BEIJING Auto,Sedan,2022-12-01,8840
9,BEIJING Auto,Sedan,2023-01-01,1725
9,BEIJING Auto,Sedan,2023-02-01,2254
9,BEIJING Auto,Sedan,2023-03-01,8135
9,BEIJING Auto,Sedan,2023-04-01,2889
9,BEIJING Auto,Sedan,2023-05-01,2585
9,BEIJING Auto,Sedan,2023-06-01,9295
9,BEIJING Auto,Sedan,2023-07-01,1821
9,BEIJING Auto,Sedan,2023-08-01,5849
9,BEIJING Auto,Sedan,2023-09-01,5320
9,BEIJING Auto,Sedan,2023-10-01,3907
10,BYD,Hatchback,2018-01-01,716
10,BYD,Hatchback,2018-02-01,44
10,BYD,Hatchback,2018-03-01,33
10,BYD,Hatchback,2019-04-01,1157
10,BYD,Hatchback,2019-05-01,1249
10,BYD,Hatchback,2019-06-01,1762
10,BYD,Hatchback,2019-07-01,1120
10,BYD,Hatchback,2019-08-01,1100
10,BYD,Hatchback,2019-09-01,2078
10,BYD,Hatchback,2019-10-01,2151
10,BYD,Hatchback,2019-11-01,1524
10,BYD,Hatchback,2019-12-01,1566
10,BYD,Hatchback,2020-01-01,1028
